annotator,id,label,contextual_agreement,contextual_factors,contextual_explanation,ambiguous_referent_type,ambiguous_referent_other_text
joe,30,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; f. Combined drug effects: The reported effect of a drug depends on its use in combination with other drugs or therapies.",,,
joe,31,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.; j. Other: None of the listed factors explain the contradiction.","Different outcomes (weight, fat mass or waist circumference vs. YKL-40 and MCP-1 levels)",One or both abstracts lack population information,
joe,32,incorrect,,,,,
joe,34,correct,Disagree,"f. Combined drug effects: The reported effect of a drug depends on its use in combination with other drugs or therapies.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.; j. Other: None of the listed factors explain the contradiction.",Differences in study design: Retrospective study vs. prospective RCT,One or both abstracts lack dosage information,
joe,35,correct,Disagree,g. Evolving scientific evidence: The claims reflect different stages of scientific understanding.,,,
joe,36,incorrect,,,,,
joe,37,incorrect,,,,,
joe,38,correct,Disagree,"i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,One or both abstracts lack dosage information; Other,Whether blinding in patients/clinicians in study design for claim 2 is unclear
joe,39,correct,Disagree,"c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.",,,
joe,40,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.",,,
joe,41,correct,Disagree,g. Evolving scientific evidence: The claims reflect different stages of scientific understanding.; j. Other: None of the listed factors explain the contradiction.,"Different outcome measures (1) Positive and Negative Syndrome Scale (PANSS) and the Scale for the Assessment of Negative Symptoms (SANS) vs. (2) memory, attention and executive function",,
joe,42,incorrect,,,,,
joe,43,incorrect,,,,,
joe,44,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; h. Known controversy or self-qualified claims: One or both claims explicitly acknowledge uncertainty.",,,
joe,45,correct,Disagree,"c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.",,One or both abstracts lack population information,
joe,46,correct,Disagree,"a. Species: The claims are based on different species that one claim is based on animal while another is based on another kind of animal or human.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; e. Route or mode of administration: The intervention is delivered via different routes (e.g., oral, intravenous, topical, sublingual, localized).",,,
joe,47,correct,Disagree,j. Other: None of the listed factors explain the contradiction.,study design and the outcomes being measured,,
joe,48,correct,Disagree,j. Other: None of the listed factors explain the contradiction.,different study design and different outcomes that are being assessed,,
joe,33,correct,Disagree,"i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.; b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.",,One or both abstracts lack dosage information,
joe,16,correct,Disagree,"i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.; b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.",,One or both abstracts lack dosage information,
joe,15,correct,Agree,Agree,,,
joe,8,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.; b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.",,,
joe,49,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.",,,
joe,50,correct,Disagree,"e. Route or mode of administration: The intervention is delivered via different routes (e.g., oral, intravenous, topical, sublingual, localized).; j. Other: None of the listed factors explain the contradiction.",different controls: sham surgeries vs. patients serving as their own control (1-sided implants),,
